"DRUG_NAME"	"STRUCT_ID"	"TARGET_NAME"	"TARGET_CLASS"	"ACCESSION"	"GENE"	"SWISSPROT"	"ACT_VALUE"	"ACT_UNIT"	"ACT_TYPE"	"ACT_COMMENT"	"ACT_SOURCE"	"RELATION"	"MOA"	"MOA_SOURCE"	"ACT_SOURCE_URL"	"MOA_SOURCE_URL"	"ACTION_TYPE"	"TDL"	"ORGANISM"
"levobupivacaine"	4	"Sodium channel protein type 4 subunit alpha"	"Ion channel"	"P35499"	"SCN4A"	"SCN4A_HUMAN"					"WOMBAT-PK"		1	"CHEMBL"		"https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200749"	"BLOCKER"	"Tclin"	"Homo sapiens"
"levobupivacaine"	4	"Cytochrome P450 2D6"	"Enzyme"	"P10635"	"CYP2D6"	"CP2D6_HUMAN"	6.706858517		"IC50"	"DRUGMATRIX: CYP450, 2D6 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)"	"DRUG MATRIX"	"="						"Tclin"	"Homo sapiens"
"levobupivacaine"	4	"Potassium voltage-gated channel subfamily H member 2"	"Ion channel"	"Q12809"	"KCNH2"	"KCNH2_HUMAN"	4.89		"IC50"	"Inhibition of wild-type human ERG channel expressed in HEK293 cells assessed as blockade of potassium tail current by whole-cell patch clamp technique"	"CHEMBL"	"="			"https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200749"			"Tclin"	"Homo sapiens"
"levobupivacaine"	4	"Potassium voltage-gated channel subfamily D member 3"	"Ion channel"	"Q9UK17"	"KCND3"	"KCND3_HUMAN"	4.5		"IC50"		"WOMBAT-PK"	"="						"Tclin"	"Homo sapiens"
"levobupivacaine"	4	"Prostaglandin E2 receptor EP1 subtype"	"GPCR"	"P34995"	"PTGER1"	"PE2R1_HUMAN"					"WOMBAT-PK"							"Tclin"	"Homo sapiens"
"levobupivacaine"	4	"Sodium channel protein type 1 subunit alpha"	"Ion channel"	"P35498"	"SCN1A"	"SCN1A_HUMAN"	5.79		"IC50"		"WOMBAT-PK"	"="						"Tclin"	"Homo sapiens"
"levobupivacaine"	4	"Potassium voltage-gated channel subfamily A member 5"	"Ion channel"	"P22460"	"KCNA5"	"KCNA5_HUMAN"					"WOMBAT-PK"							"Tclin"	"Homo sapiens"
"levobupivacaine"	4	"5-hydroxytryptamine receptor 3A"	"Ion channel"	"P46098"	"HTR3A"	"5HT3A_HUMAN"					"WOMBAT-PK"							"Tclin"	"Homo sapiens"
"(S)-nicardipine"	5	"Voltage-gated L-type calcium channel"	"Ion channel"	"Q01668|Q13936"	"CACNA1C|CACNA1D"	"CAC1C_HUMAN|CAC1D_HUMAN"				"Mechanism of Action"	"DRUG LABEL"		1	"DRUG LABEL"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/022276s003lbl.pdf"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/022276s003lbl.pdf"	"BLOCKER"	"Tclin|Tclin"	"Homo sapiens"
"(S)-nitrendipine"	6	"Intermediate conductance calcium-activated potassium channel protein 4"	"Ion channel"	"O15554"	"KCNN4"	"KCNN4_HUMAN"	7.599999905		"IC50"		"IUPHAR"	"="			"http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2334"		"BLOCKER"	"Tchem"	"Homo sapiens"
"(S)-nitrendipine"	6	"Voltage-dependent L-type calcium channel subunit alpha-1F"	"Ion channel"	"O60840"	"CACNA1F"	"CAC1F_HUMAN"	6		"IC50"		"IUPHAR"	"="			"http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2334"		"NEGATIVE MODULATOR"	"Tchem"	"Homo sapiens"
"(S)-nitrendipine"	6	"Voltage-dependent L-type calcium channel subunit alpha-1C"	"Ion channel"	"P22002"	"Cacna1c"	"CAC1C_RAT"	6		"IC50"		"IUPHAR"	"="			"http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2334"		"NEGATIVE MODULATOR"		"Rattus norvegicus"
"(S)-nitrendipine"	6	"Voltage-dependent L-type calcium channel subunit alpha-1S"	"Ion channel"	"Q02485"	"Cacna1s"	"CAC1S_RAT"	6		"IC50"		"IUPHAR"	"="			"http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2334"		"NEGATIVE MODULATOR"		"Rattus norvegicus"
"(S)-nitrendipine"	6	"Voltage-dependent L-type calcium channel subunit alpha-1D"	"Ion channel"	"Q01668"	"CACNA1D"	"CAC1D_HUMAN"	8.39999961853027		"IC50"	"Mechanism of Action"	"IUPHAR"	"="	1	"IUPHAR"	"http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2334"	"http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2334"	"BLOCKER"	"Tclin"	"Homo sapiens"
"(S)-nitrendipine"	6	"Voltage-dependent L-type calcium channel subunit alpha-1C"	"Ion channel"	"Q13936"	"CACNA1C"	"CAC1C_HUMAN"				"Mechanism of Action"	"SCIENTIFIC LITERATURE"		1	"SCIENTIFIC LITERATURE"		"http://www.ncbi.nlm.nih.gov/pubmed/17276408"	"BLOCKER"	"Tclin"	"Homo sapiens"
